G84	G35	2.029883
G88	G4	2.029396
G64	G59	2.029318
G40	G99	2.027666
G46	G13	2.027255
G2	G57	2.025142
G97	G87	2.023172
G24	G11	2.022094
G5	G58	2.020669
G80	G38	2.020575
G59	G54	2.018212
G59	G36	2.018070
G61	G90	2.018003
G41	G93	2.017739
G18	G72	2.016860
G21	G79	2.016775
G95	G10	2.015279
G41	G34	2.015200
G23	G33	2.014987
G37	G39	2.014333
G26	G30	2.013471
G9	G2	2.013249
G4	G22	2.013122
G99	G35	2.013080
G28	G98	2.012817
G83	G45	2.012710
G96	G1	2.012645
G19	G58	2.012580
G89	G40	2.012576
G43	G91	2.012402
G99	G19	2.012355
G19	G23	2.012297
G14	G15	2.012245
G60	G86	2.012145
G22	G50	2.011441
G82	G29	2.010972
G3	G5	2.010728
G94	G67	2.010625
G12	G16	2.010396
G76	G16	2.010396
G30	G33	2.010124
G96	G33	2.010118
G13	G99	2.010000
G15	G99	2.010000
G24	G99	2.010000
G39	G99	2.010000
G53	G6	2.010000
G55	G6	2.010000
G62	G99	2.010000
G69	G98	2.010000
G71	G6	2.010000
G80	G98	2.010000
G81	G98	2.010000
G82	G98	2.010000
G84	G98	2.010000
G91	G98	2.010000
G93	G98	2.010000
G95	G96	1.120492
G90	G48	1.110680
G97	G72	1.048054
G65	G43	1.043293
G92	G59	1.040215
G67	G34	1.036372
G39	G44	1.031083
G54	G10	1.028980
G35	G99	1.028730
G43	G65	1.026858
G1	G27	1.026466
G38	G46	1.023545
G73	G8	1.023358
G76	G23	1.022835
G29	G82	1.021807
G4	G44	1.021792
G53	G38	1.021286
G38	G45	1.020828
G95	G38	1.020394
G29	G20	1.020338
G17	G36	1.020274
G46	G3	1.019957
G37	G24	1.019431
G3	G99	1.019319
G12	G52	1.018807
G53	G37	1.018663
G67	G31	1.018624
G12	G38	1.017949
G66	G82	1.017776
G54	G77	1.017126
G60	G1	1.016726
G87	G92	1.016596
G92	G71	1.016181
G1	G79	1.016131
G97	G10	1.016026
G76	G84	1.015652
G91	G30	1.015363
G80	G31	1.015362
G7	G1	1.015287
G64	G41	1.015227
G36	G48	1.015202
G12	G28	1.015004
G89	G55	1.014887
G38	G55	1.014865
G66	G24	1.014838
G27	G44	1.014549
G44	G97	1.014472
G68	G8	1.014306
G39	G4	1.014256
G79	G44	1.013996
G13	G12	1.013982
G59	G18	1.013831
G78	G93	1.013647
G9	G62	1.013630
G46	G44	1.013353
G11	G4	1.013320
G93	G9	1.013255
G69	G21	1.013087
G2	G13	1.012532
G7	G31	1.012430
G20	G98	1.012411
G36	G2	1.012319
G69	G86	1.012238
G9	G96	1.012236
G47	G73	1.012184
G91	G12	1.012163
G62	G36	1.011968
G23	G70	1.011964
G83	G62	1.011794
G40	G41	1.011759
G64	G15	1.011725
G54	G13	1.011676
G68	G14	1.011636
G73	G2	1.011331
G73	G22	1.011064
G61	G25	1.011020
G55	G7	1.010887
G4	G96	1.010802
G4	G45	1.010793
G3	G78	1.010639
G37	G7	1.010539
G63	G89	1.010354
G50	G54	0.890860
G97	G29	0.045094
G71	G92	0.043415
G49	G59	0.032755
G79	G82	0.029791
G71	G60	0.027874
G100	G82	0.027855
G48	G54	0.027744
G33	G82	0.027541
G65	G64	0.025380
G92	G10	0.025025
G50	G18	0.023656
G10	G66	0.023563
G20	G29	0.023214
G2	G82	0.021731
G10	G48	0.021514
G2	G10	0.021500
G2	G40	0.021485
G59	G10	0.021407
G93	G41	0.021215
G2	G33	0.021199
G45	G17	0.020968
G33	G77	0.020905
G71	G59	0.020857
G22	G41	0.020753
G17	G78	0.020476
G5	G20	0.020437
G70	G64	0.020275
G5	G49	0.020198
G54	G18	0.020120
G24	G20	0.020062
G48	G50	0.019594
G48	G59	0.019308
G71	G1	0.018889
G1	G60	0.018840
G13	G60	0.018675
G96	G86	0.018621
G24	G66	0.017877
G38	G75	0.017857
G39	G36	0.017727
G45	G1	0.017666
G25	G34	0.017469
G10	G4	0.017407
G18	G60	0.017395
G59	G45	0.017311
G80	G90	0.017257
G45	G79	0.017254
G13	G46	0.017243
G31	G59	0.017102
G54	G65	0.016836
G6	G28	0.016817
G50	G10	0.016577
G5	G45	0.016502
G38	G29	0.016240
G32	G10	0.016158
G13	G44	0.016015
G54	G29	0.015987
G2	G60	0.015957
G31	G35	0.015786
G10	G40	0.015742
G88	G32	0.015727
G97	G84	0.015707
G44	G18	0.015667
G2	G18	0.015664
G10	G43	0.015510
G46	G33	0.015492
G76	G24	0.015442
G54	G59	0.015431
G46	G59	0.015408
G25	G20	0.015392
G54	G43	0.015340
G18	G71	0.015290
G27	G33	0.015119
G4	G90	0.015105
G5	G41	0.015073
G90	G32	0.015065
G96	G31	0.015005
G5	G48	0.014992
G27	G4	0.014945
G10	G11	0.014940
G8	G74	0.014809
G6	G68	0.014770
G80	G4	0.014699
G13	G70	0.014650
G74	G94	0.014635
G16	G31	0.014610
G31	G99	0.014607
G79	G45	0.014603
G27	G43	0.014574
G67	G41	0.014570
G94	G48	0.014543
G80	G32	0.014470
G78	G25	0.014431
G93	G4	0.014419
G65	G48	0.014383
G18	G29	0.014382
G2	G27	0.014338
G42	G68	0.014263
G41	G36	0.014226
G23	G59	0.014179
G68	G31	0.014167
G31	G13	0.014144
G38	G1	0.014139
G38	G53	0.014128
G84	G43	0.014119
G88	G22	0.014103
G88	G66	0.014097
G80	G2	0.014039
G27	G10	0.014033
G18	G45	0.013962
G60	G46	0.013954
G59	G65	0.013946
G25	G85	0.013873
G7	G59	0.013868
G23	G44	0.013838
G59	G53	0.013776
G9	G61	0.013774
G54	G30	0.013768
G28	G12	0.013761
G1	G54	0.013754
G95	G43	0.013735
G87	G44	0.013733
G52	G19	0.013722
G39	G43	0.013712
G23	G40	0.013709
G92	G80	0.013708
G44	G76	0.013700
G89	G77	0.013664
G51	G69	0.013662
G65	G94	0.013640
G78	G40	0.013638
G67	G13	0.013623
G19	G98	0.013608
G30	G21	0.013593
G53	G45	0.013588
G91	G80	0.013580
G71	G81	0.013578
G31	G50	0.013572
G57	G74	0.013537
G27	G2	0.013530
G89	G30	0.013524
G70	G99	0.013523
G35	G38	0.013508
G39	G78	0.013493
G37	G54	0.013491
G29	G66	0.013466
G99	G50	0.013448
G66	G40	0.013430
G39	G45	0.013419
G60	G85	0.013377
G40	G20	0.013377
G52	G10	0.013364
G45	G19	0.013338
G20	G99	0.013333
G45	G49	0.013333
G20	G44	0.013311
G37	G66	0.013304
G18	G17	0.013284
G87	G74	0.013246
G81	G10	0.013234
G21	G56	0.013218
G54	G94	0.013210
G65	G97	0.013192
G29	G44	0.013177
G66	G10	0.013175
G99	G82	0.013123
G36	G45	0.013116
G10	G27	0.013111
G58	G19	0.013096
G29	G79	0.013060
G99	G10	0.013040
G56	G34	0.013019
G82	G65	0.013019
G52	G38	0.013007
G21	G8	0.012993
G70	G82	0.012982
G4	G49	0.012981
G54	G97	0.012976
G88	G10	0.012966
G59	G44	0.012941
G46	G35	0.012926
G13	G79	0.012926
G38	G37	0.012922
G96	G85	0.012918
G59	G29	0.012893
G59	G40	0.012890
G74	G48	0.012880
G35	G50	0.012877
G54	G66	0.012865
G32	G79	0.012837
G59	G55	0.012831
G85	G31	0.012826
G43	G49	0.012819
G28	G84	0.012804
G9	G55	0.012746
G43	G27	0.012724
G96	G29	0.012718
G32	G12	0.012712
G13	G31	0.012707
G29	G75	0.012692
G31	G68	0.012682
G46	G99	0.012669
G19	G99	0.012666
G52	G99	0.012663
G10	G51	0.012649
G35	G78	0.012644
G41	G75	0.012637
G42	G86	0.012631
G12	G87	0.012611
G60	G65	0.012603
G30	G70	0.012589
G78	G36	0.012589
G88	G13	0.012587
G30	G100	0.012582
G41	G79	0.012573
G85	G25	0.012566
G97	G24	0.012562
G10	G97	0.012559
G91	G59	0.012553
G18	G100	0.012551
G52	G44	0.012547
G27	G65	0.012536
G24	G27	0.012535
G76	G44	0.012521
G74	G71	0.012520
G31	G20	0.012511
G83	G20	0.012504
G54	G45	0.012489
G18	G55	0.012483
G54	G44	0.012480
G42	G37	0.012458
G30	G79	0.012455
G45	G29	0.012448
G44	G23	0.012441
G29	G99	0.012433
G91	G79	0.012417
G85	G13	0.012416
G9	G90	0.012413
G10	G49	0.012388
G68	G33	0.012385
G87	G96	0.012379
G50	G68	0.012368
G22	G4	0.012362
G100	G45	0.012355
G36	G94	0.012328
G45	G100	0.012320
G66	G44	0.012316
G60	G74	0.012306
G39	G75	0.012300
G6	G29	0.012287
G90	G49	0.012285
G78	G85	0.012283
G95	G40	0.012270
G50	G99	0.012267
G58	G30	0.012263
G20	G40	0.012252
G45	G54	0.012238
G47	G60	0.012234
G99	G53	0.012222
G60	G38	0.012222
G30	G44	0.012222
G50	G33	0.012219
G80	G79	0.012217
G76	G95	0.012212
G29	G53	0.012207
G42	G8	0.012204
G88	G73	0.012190
G42	G7	0.012187
G8	G32	0.012180
G32	G88	0.012176
G10	G18	0.012176
G66	G29	0.012169
G92	G30	0.012168
G80	G10	0.012157
G99	G65	0.012155
G54	G12	0.012150
G9	G35	0.012141
G80	G19	0.012138
G64	G54	0.012134
G13	G30	0.012122
G62	G61	0.012122
G54	G48	0.012115
G20	G11	0.012112
G28	G68	0.012110
G54	G32	0.012104
G84	G50	0.012099
G40	G2	0.012096
G94	G43	0.012089
G57	G7	0.012073
G78	G47	0.012059
G76	G43	0.012051
G8	G42	0.012045
G61	G9	0.012036
G59	G71	0.012033
G13	G42	0.012026
G9	G63	0.012026
G97	G45	0.012023
G92	G65	0.012019
G74	G92	0.012010
G12	G11	0.012009
G24	G41	0.012003
G35	G47	0.011999
G5	G82	0.011983
G27	G24	0.011978
G78	G97	0.011960
G56	G41	0.011959
G11	G19	0.011954
G80	G86	0.011954
G95	G100	0.011952
G12	G75	0.011951
G71	G10	0.011940
G42	G69	0.011937
G77	G68	0.011930
G24	G5	0.011923
G34	G41	0.011910
G48	G3	0.011903
G42	G14	0.011882
G31	G65	0.011878
G77	G36	0.011877
G38	G65	0.011873
G55	G13	0.011873
G35	G31	0.011865
G4	G95	0.011865
G2	G58	0.011860
G90	G10	0.011857
G93	G88	0.011851
G29	G13	0.011850
G33	G79	0.011844
G9	G13	0.011834
G31	G48	0.011833
G100	G41	0.011830
G29	G10	0.011828
G43	G11	0.011828
G67	G96	0.011819
G29	G59	0.011807
G85	G97	0.011800
G68	G28	0.011799
G42	G65	0.011788
G70	G71	0.011785
G90	G61	0.011777
G59	G76	0.011777
G21	G59	0.011765
G31	G88	0.011761
G97	G79	0.011760
G8	G48	0.011753
G2	G39	0.011749
G74	G90	0.011743
G80	G59	0.011739
G59	G49	0.011733
G82	G80	0.011731
G80	G52	0.011720
G40	G81	0.011715
G18	G44	0.011714
G36	G58	0.011713
G51	G47	0.011705
G97	G95	0.011701
G17	G8	0.011700
G18	G80	0.011700
G65	G58	0.011698
G19	G82	0.011698
G35	G44	0.011695
G75	G42	0.011693
G65	G39	0.011686
G88	G58	0.011686
G18	G38	0.011685
G37	G1	0.011683
G53	G44	0.011681
G96	G13	0.011680
G97	G62	0.011679
G54	G4	0.011679
G53	G5	0.011678
G96	G9	0.011675
G83	G24	0.011668
G9	G60	0.011659
G40	G97	0.011657
G13	G81	0.011656
G7	G57	0.011653
G82	G10	0.011649
G45	G87	0.011648
G97	G77	0.011647
G13	G85	0.011641
G45	G82	0.011637
G91	G10	0.011635
G29	G39	0.011624
G93	G43	0.011621
G5	G85	0.011618
G4	G54	0.011613
G85	G53	0.011610
G22	G69	0.011610
G80	G65	0.011610
G89	G56	0.011608
G7	G71	0.011604
G82	G100	0.011603
G4	G72	0.011603
G85	G30	0.011590
G93	G66	0.011587
G64	G44	0.011587
G18	G34	0.011581
G11	G79	0.011580
G80	G49	0.011568
G36	G76	0.011566
G61	G47	0.011562
G93	G34	0.011548
G59	G81	0.011548
G18	G61	0.011548
G4	G36	0.011546
G92	G67	0.011540
G96	G79	0.011538
G90	G50	0.011530
G18	G52	0.011524
G79	G70	0.011521
G27	G81	0.011513
G20	G30	0.011511
G51	G9	0.011510
G1	G10	0.011510
G39	G2	0.011508
G12	G32	0.011507
G97	G52	0.011503
G11	G12	0.011496
G70	G52	0.011495
G22	G36	0.011492
G5	G80	0.011489
G13	G68	0.011489
G26	G72	0.011487
G55	G47	0.011486
G69	G58	0.011486
G10	G1	0.011479
G79	G94	0.011476
G65	G36	0.011473
G32	G84	0.011469
G66	G37	0.011467
G64	G45	0.011457
G38	G100	0.011456
G53	G97	0.011452
G82	G72	0.011449
G28	G8	0.011444
G98	G80	0.011442
G75	G44	0.011439
G19	G52	0.011431
G48	G10	0.011430
G19	G61	0.011430
G80	G36	0.011430
G15	G36	0.011424
G18	G47	0.011409
G45	G80	0.011394
G62	G69	0.011389
G85	G29	0.011389
G38	G74	0.011387
G12	G19	0.011384
G36	G72	0.011382
G40	G86	0.011382
G95	G66	0.011380
G84	G25	0.011380
G51	G98	0.011379
G30	G59	0.011378
G74	G32	0.011377
G57	G3	0.011376
G91	G94	0.011375
G64	G75	0.011373
G22	G44	0.011370
G59	G37	0.011368
G46	G12	0.011364
G3	G98	0.011364
G25	G65	0.011363
G46	G64	0.011360
G84	G44	0.011356
G29	G26	0.011344
G28	G27	0.011344
G31	G49	0.011343
G44	G55	0.011342
G74	G17	0.011339
G41	G22	0.011333
G83	G85	0.011331
G79	G23	0.011330
G80	G27	0.011327
G36	G49	0.011321
G25	G61	0.011317
G44	G24	0.011315
G57	G30	0.011314
G13	G97	0.011312
G63	G82	0.011306
G97	G44	0.011303
G52	G35	0.011303
G41	G28	0.011300
G1	G50	0.011299
G28	G95	0.011298
G85	G95	0.011297
G65	G71	0.011296
G33	G46	0.011291
G27	G78	0.011290
G6	G99	0.011287
G83	G17	0.011285
G44	G29	0.011284
G27	G40	0.011282
G50	G46	0.011280
G92	G87	0.011275
G67	G72	0.011275
G10	G100	0.011271
G92	G74	0.011269
G69	G99	0.011264
G71	G4	0.011259
G97	G88	0.011258
G44	G67	0.011258
G96	G32	0.011257
G72	G96	0.011252
G57	G71	0.011249
G60	G47	0.011242
G60	G70	0.011240
G72	G70	0.011238
G82	G44	0.011231
G31	G81	0.011230
G98	G28	0.011228
G70	G76	0.011225
G46	G54	0.011214
G64	G92	0.011208
G43	G46	0.011206
G35	G5	0.011204
G84	G71	0.011195
G42	G47	0.011189
G77	G11	0.011188
G76	G59	0.011182
G17	G22	0.011181
G80	G68	0.011177
G45	G66	0.011176
G50	G92	0.011167
G27	G28	0.011162
G6	G57	0.011161
G43	G31	0.011160
G18	G88	0.011155
G10	G57	0.011147
G32	G18	0.011145
G26	G48	0.011144
G29	G97	0.011142
G69	G41	0.011139
G4	G61	0.011136
G13	G94	0.011136
G28	G6	0.011135
G80	G88	0.011134
G5	G91	0.011130
G2	G73	0.011130
G40	G1	0.011123
G18	G87	0.011120
G92	G33	0.011120
G95	G32	0.011118
G8	G31	0.011118
G23	G84	0.011111
G95	G94	0.011104
G12	G44	0.011103
G70	G38	0.011099
G22	G88	0.011099
G13	G19	0.011093
G65	G79	0.011092
G40	G79	0.011091
G68	G50	0.011089
G35	G80	0.011086
G1	G49	0.011085
G4	G7	0.011084
G85	G35	0.011080
G91	G15	0.011075
G64	G79	0.011072
G20	G80	0.011072
G46	G27	0.011068
G80	G8	0.011067
G55	G56	0.011065
G44	G26	0.011054
G68	G6	0.011050
G43	G70	0.011049
G77	G5	0.011048
G3	G35	0.011046
G1	G55	0.011040
G59	G91	0.011039
G48	G40	0.011031
G22	G19	0.011027
G72	G97	0.011022
G54	G71	0.011021
G85	G3	0.011019
G83	G96	0.011015
G57	G47	0.011010
G95	G11	0.011008
G82	G88	0.011008
G88	G65	0.011007
G98	G26	0.011005
G96	G75	0.011005
G8	G21	0.011001
G22	G98	0.010999
G12	G27	0.010999
G80	G29	0.010996
G74	G97	0.010989
G65	G77	0.010988
G52	G42	0.010985
G16	G47	0.010985
G4	G39	0.010976
G25	G78	0.010976
G27	G51	0.010975
G17	G10	0.010975
G10	G46	0.010968
G90	G44	0.010965
G65	G76	0.010963
G3	G38	0.010962
G38	G99	0.010961
G38	G2	0.010958
G82	G79	0.010955
G74	G65	0.010954
G84	G31	0.010952
G30	G17	0.010949
G20	G31	0.010948
G85	G75	0.010947
G86	G91	0.010945
G76	G86	0.010944
G73	G44	0.010944
G40	G93	0.010943
G7	G30	0.010941
G88	G19	0.010940
G62	G57	0.010938
G38	G10	0.010938
G93	G78	0.010930
G35	G42	0.010926
G28	G88	0.010923
G33	G96	0.010917
G25	G87	0.010917
G66	G41	0.010917
G28	G7	0.010916
G95	G65	0.010913
G29	G18	0.010913
G58	G97	0.010911
G71	G45	0.010907
G65	G44	0.010905
G85	G67	0.010904
G54	G80	0.010903
G45	G22	0.010900
G59	G43	0.010899
G86	G15	0.010897
G63	G62	0.010897
G32	G49	0.010895
G1	G76	0.010895
G34	G94	0.010894
G55	G80	0.010893
G2	G59	0.010891
G47	G87	0.010889
G37	G9	0.010886
G23	G27	0.010885
G32	G60	0.010882
G38	G36	0.010882
G44	G83	0.010880
G87	G97	0.010879
G16	G23	0.010879
G35	G15	0.010879
G13	G50	0.010877
G31	G39	0.010877
G63	G49	0.010874
G28	G44	0.010871
G42	G35	0.010871
G75	G74	0.010869
G46	G78	0.010867
G53	G41	0.010867
G50	G44	0.010867
G52	G41	0.010864
G24	G6	0.010863
G28	G76	0.010863
G100	G55	0.010863
G72	G82	0.010861
G39	G86	0.010858
G88	G28	0.010856
G31	G44	0.010855
G38	G28	0.010853
G85	G93	0.010851
G67	G32	0.010849
G96	G72	0.010848
G71	G80	0.010847
G9	G89	0.010845
G50	G28	0.010844
G11	G54	0.010843
G46	G10	0.010839
G6	G77	0.010838
G70	G42	0.010838
G40	G23	0.010835
G28	G29	0.010834
G39	G10	0.010833
G1	G38	0.010833
G27	G84	0.010829
G92	G90	0.010828
G63	G12	0.010826
G70	G85	0.010826
G98	G19	0.010821
G88	G57	0.010820
G30	G78	0.010816
G20	G79	0.010816
G59	G77	0.010815
G44	G47	0.010814
G73	G7	0.010808
G29	G6	0.010807
G88	G12	0.010806
G17	G23	0.010806
G71	G39	0.010805
G72	G36	0.010805
G95	G72	0.010804
G2	G85	0.010803
G50	G77	0.010800
G13	G10	0.010799
G75	G82	0.010798
G34	G72	0.010798
G89	G75	0.010796
G59	G79	0.010793
G55	G19	0.010793
G39	G58	0.010788
G17	G27	0.010787
G29	G38	0.010785
G42	G9	0.010784
G64	G42	0.010784
G92	G72	0.010780
G74	G60	0.010778
G43	G55	0.010776
G49	G80	0.010775
G31	G4	0.010774
G21	G31	0.010774
G80	G51	0.010773
G70	G43	0.010773
G7	G42	0.010773
G24	G97	0.010772
G41	G74	0.010770
G30	G11	0.010770
G80	G9	0.010770
G66	G20	0.010768
G46	G47	0.010767
G77	G27	0.010763
G4	G29	0.010762
G11	G53	0.010760
G90	G74	0.010760
G37	G50	0.010756
G62	G97	0.010756
G5	G46	0.010753
G79	G28	0.010752
G63	G30	0.010751
G18	G10	0.010750
G12	G61	0.010749
G49	G57	0.010749
G9	G51	0.010748
G38	G18	0.010745
G77	G58	0.010745
G17	G44	0.010743
G88	G46	0.010742
G14	G33	0.010741
G29	G35	0.010740
G72	G38	0.010740
G47	G39	0.010734
G71	G52	0.010733
G94	G61	0.010732
G29	G23	0.010729
G48	G44	0.010728
G12	G10	0.010726
G7	G55	0.010725
G9	G80	0.010724
G50	G59	0.010724
G35	G61	0.010723
G52	G66	0.010723
G42	G56	0.010721
G85	G10	0.010719
G93	G40	0.010718
G100	G11	0.010717
G82	G32	0.010716
G26	G29	0.010714
G45	G59	0.010713
G89	G17	0.010712
G38	G79	0.010712
G50	G71	0.010711
G51	G59	0.010710
G2	G12	0.010710
G54	G41	0.010710
G39	G85	0.010709
G59	G50	0.010707
G75	G30	0.010706
G66	G68	0.010704
G92	G68	0.010702
G39	G94	0.010700
G50	G97	0.010700
G3	G43	0.010698
G66	G38	0.010697
G58	G61	0.010695
G10	G69	0.010692
G7	G4	0.010691
G16	G52	0.010688
G39	G49	0.010687
G92	G37	0.010686
G19	G37	0.010686
G100	G29	0.010684
G24	G15	0.010682
G43	G10	0.010678
G2	G36	0.010677
G77	G66	0.010676
G60	G16	0.010676
G42	G4	0.010675
G35	G71	0.010675
G2	G35	0.010673
G38	G56	0.010673
G17	G11	0.010670
G11	G40	0.010669
G55	G21	0.010667
G84	G17	0.010665
G92	G96	0.010665
G9	G73	0.010665
G12	G63	0.010664
G28	G70	0.010662
G49	G95	0.010659
G66	G34	0.010658
G9	G56	0.010658
G92	G94	0.010658
G55	G89	0.010658
G90	G31	0.010657
G81	G69	0.010651
G92	G36	0.010648
G71	G95	0.010648
G17	G5	0.010647
G35	G3	0.010647
G40	G98	0.010639
G37	G29	0.010639
G88	G53	0.010637
G64	G13	0.010636
G54	G40	0.010636
G71	G87	0.010635
G62	G63	0.010634
G13	G2	0.010634
G82	G75	0.010634
G58	G90	0.010630
G93	G85	0.010630
G85	G16	0.010627
G16	G77	0.010627
G80	G87	0.010624
G43	G20	0.010623
G45	G53	0.010623
G41	G98	0.010618
G73	G25	0.010613
G59	G78	0.010611
G10	G58	0.010610
G23	G17	0.010610
G32	G95	0.010609
G43	G76	0.010609
G81	G25	0.010606
G18	G8	0.010605
G74	G42	0.010602
G59	G9	0.010601
G55	G70	0.010600
G90	G4	0.010598
G69	G44	0.010597
G11	G3	0.010597
G89	G26	0.010597
G64	G82	0.010596
G44	G7	0.010593
G95	G46	0.010593
G59	G12	0.010592
G65	G9	0.010591
G44	G3	0.010591
G82	G3	0.010589
G99	G44	0.010589
G55	G5	0.010589
G83	G3	0.010587
G97	G9	0.010586
G56	G46	0.010585
G81	G86	0.010583
G2	G11	0.010581
G12	G30	0.010580
G60	G78	0.010580
G44	G13	0.010579
G30	G46	0.010578
G80	G39	0.010574
G74	G81	0.010574
G12	G91	0.010573
G29	G94	0.010573
G81	G63	0.010570
G89	G9	0.010568
G18	G19	0.010566
G98	G85	0.010564
G4	G23	0.010563
G43	G2	0.010563
G90	G87	0.010559
G37	G77	0.010558
G95	G26	0.010557
G85	G36	0.010554
G18	G49	0.010554
G10	G67	0.010554
G30	G31	0.010554
G16	G39	0.010552
G67	G38	0.010552
G69	G43	0.010552
G88	G20	0.010550
G83	G32	0.010547
G10	G54	0.010545
G42	G63	0.010544
G20	G63	0.010544
G29	G31	0.010544
G75	G57	0.010542
G16	G61	0.010541
G45	G93	0.010539
G52	G93	0.010538
G77	G34	0.010538
G9	G76	0.010538
G61	G58	0.010537
G43	G33	0.010537
G50	G66	0.010536
G64	G29	0.010534
G39	G52	0.010534
G46	G17	0.010534
G17	G16	0.010528
G1	G16	0.010527
G89	G23	0.010527
G16	G24	0.010527
G95	G99	0.010527
G49	G69	0.010526
G74	G88	0.010526
G13	G29	0.010526
G85	G80	0.010523
G98	G54	0.010523
G68	G86	0.010523
G39	G87	0.010521
G95	G14	0.010520
G50	G11	0.010519
G23	G38	0.010517
G62	G76	0.010517
G41	G92	0.010516
G80	G99	0.010515
G52	G32	0.010515
G9	G48	0.010514
G19	G3	0.010513
G58	G2	0.010513
G41	G76	0.010513
G70	G31	0.010511
G17	G70	0.010510
G25	G94	0.010507
G4	G11	0.010507
G25	G82	0.010507
G29	G98	0.010506
G64	G22	0.010505
G96	G91	0.010503
G5	G12	0.010502
G16	G9	0.010501
G14	G68	0.010501
G45	G60	0.010501
G49	G10	0.010498
G70	G33	0.010496
G72	G13	0.010495
G96	G7	0.010495
G13	G98	0.010495
G56	G10	0.010493
G95	G80	0.010492
G92	G42	0.010490
G5	G55	0.010489
G51	G29	0.010488
G99	G43	0.010488
G1	G96	0.010487
G83	G4	0.010486
G26	G3	0.010486
G2	G9	0.010484
G49	G38	0.010483
G17	G98	0.010480
G11	G2	0.010479
G42	G41	0.010478
G54	G46	0.010476
G11	G59	0.010475
G29	G96	0.010474
G59	G22	0.010472
G86	G65	0.010470
G67	G35	0.010470
G91	G38	0.010470
G71	G65	0.010466
G47	G51	0.010465
G97	G17	0.010465
G43	G87	0.010464
G85	G17	0.010464
G53	G89	0.010460
G30	G60	0.010459
G98	G3	0.010459
G14	G35	0.010459
G54	G38	0.010459
G65	G45	0.010459
G63	G73	0.010458
G51	G34	0.010458
G97	G26	0.010456
G43	G99	0.010456
G46	G34	0.010456
G62	G25	0.010454
G39	G31	0.010454
G11	G48	0.010454
G2	G55	0.010453
G48	G70	0.010453
G50	G95	0.010452
G66	G95	0.010450
G88	G97	0.010450
G80	G42	0.010450
G44	G8	0.010449
G87	G39	0.010449
G27	G55	0.010447
G35	G96	0.010446
G88	G36	0.010445
G39	G41	0.010445
G58	G6	0.010444
G96	G14	0.010442
G34	G97	0.010442
G60	G18	0.010441
G65	G55	0.010440
G74	G28	0.010439
G76	G18	0.010439
G84	G70	0.010438
G13	G90	0.010438
G32	G41	0.010438
G48	G43	0.010437
G61	G18	0.010437
G49	G35	0.010436
G6	G15	0.010435
G95	G97	0.010435
G11	G52	0.010434
G65	G80	0.010434
G100	G94	0.010433
G86	G34	0.010433
G56	G43	0.010432
G57	G70	0.010431
G20	G78	0.010430
G18	G73	0.010430
G88	G79	0.010430
G91	G74	0.010430
G6	G10	0.010430
G59	G2	0.010429
G68	G42	0.010425
G13	G55	0.010424
G69	G3	0.010423
G47	G44	0.010423
G98	G64	0.010422
G78	G2	0.010422
G93	G14	0.010422
G36	G12	0.010420
G21	G81	0.010420
G11	G61	0.010420
G30	G24	0.010419
G30	G55	0.010417
G82	G96	0.010417
G90	G43	0.010416
G80	G1	0.010415
G11	G82	0.010415
G70	G48	0.010413
G18	G78	0.010412
G15	G42	0.010408
G42	G10	0.010408
G36	G38	0.010408
G81	G59	0.010405
G45	G15	0.010405
G27	G88	0.010404
G1	G91	0.010403
G57	G98	0.010402
G18	G23	0.010402
G23	G85	0.010402
G77	G6	0.010402
G60	G25	0.010402
G38	G11	0.010401
G79	G2	0.010401
G7	G74	0.010400
G63	G17	0.010400
G67	G73	0.010400
G34	G33	0.010399
G28	G87	0.010399
G26	G14	0.010399
G43	G7	0.010399
G68	G78	0.010397
G22	G10	0.010397
G34	G56	0.010397
G24	G16	0.010396
G15	G75	0.010396
G44	G77	0.010396
G1	G41	0.010394
G94	G72	0.010394
G26	G39	0.010393
G54	G55	0.010393
G1	G83	0.010392
G48	G4	0.010391
G43	G53	0.010390
G1	G34	0.010389
G36	G82	0.010388
G38	G82	0.010387
G17	G45	0.010386
G68	G71	0.010386
G39	G47	0.010386
G6	G4	0.010385
G59	G88	0.010385
G40	G27	0.010385
G73	G37	0.010384
G73	G16	0.010384
G39	G12	0.010384
G65	G93	0.010384
G61	G34	0.010382
G100	G18	0.010381
G78	G34	0.010380
G99	G22	0.010379
G71	G75	0.010379
G45	G74	0.010379
G74	G54	0.010379
G14	G44	0.010378
G65	G52	0.010378
G24	G61	0.010377
G32	G55	0.010377
G39	G50	0.010377
G38	G61	0.010377
G40	G60	0.010376
G65	G4	0.010375
G74	G9	0.010374
G91	G64	0.010374
G8	G80	0.010372
G96	G77	0.010371
G32	G1	0.010371
G98	G23	0.010371
G45	G43	0.010371
G99	G52	0.010370
G8	G92	0.010370
G76	G99	0.010369
G14	G60	0.010369
G42	G82	0.010368
G38	G12	0.010368
G30	G58	0.010368
G51	G78	0.010367
G8	G91	0.010367
G49	G66	0.010366
G81	G19	0.010366
G93	G13	0.010365
G70	G10	0.010365
G82	G27	0.010364
G58	G80	0.010364
G12	G26	0.010364
G12	G90	0.010364
G80	G35	0.010364
G13	G21	0.010364
G56	G64	0.010363
G6	G67	0.010362
G62	G53	0.010361
G89	G13	0.010360
G20	G74	0.010360
G75	G12	0.010358
G20	G2	0.010357
